Assay_Type	AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	cultivar	ecotype	geo_loc_name	sample_ID	sample_description	subgroup	BioProject	BioSampleModel	Consent	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySource	Platform	ReleaseDate	SRA_Study	dev_stage	isolate	tissue
WGS	250	SAMN06564739	sra	SRX2646000	Illumina HiSeq 2500	RANDOM	PDP_CD	2017-03-16	15651	7873	Solanum tuberosum	SRR5349582	SRS2051341	PDP_CD	NA	PI 214421	Peru: Huanuco, Huanuco area, Peru	PI 214421	PDP_CD; PI 214421, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564738	sra	SRX2646001	Illumina HiSeq 2500	RANDOM	PDP_CC	2017-03-16	11664	5924	Solanum tuberosum	SRR5349583	SRS2051342	PDP_CC	Yukon Gold	NA	Canada: breeding program (in vitro clone)	Yukon Gold	PDP_CC; Yukon Gold, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564737	sra	SRX2646002	Illumina HiSeq 2500	RANDOM	PDP_CB	2017-03-16	11322	5682	Solanum tuberosum	SRR5349584	SRS2051343	PDP_CB	Spunta	NA	USA: breeding program (in vitro clone)	Spunta	PDP_CB; Spunta, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564736	sra	SRX2646003	Illumina HiSeq 2500	RANDOM	PDP_CA	2017-03-16	11459	5751	Solanum tuberosum	SRR5349585	SRS2051344	PDP_CA	Sierra Gold	NA	USA: breeding program (in vitro clone)	Sierra Gold	PDP_CA; Sierra Gold, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564735	sra	SRX2646004	Illumina HiSeq 2500	RANDOM	PDP_BZ	2017-03-16	13655	6854	Solanum tuberosum	SRR5349586	SRS2051345	PDP_BZ	Shepody	NA	USA: breeding program (in vitro clone)	Shepody	PDP_BZ; Shepody, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564734	sra	SRX2646005	Illumina HiSeq 2500	RANDOM	PDP_BY	2017-03-16	13028	6445	Solanum tuberosum	SRR5349587	SRS2051346	PDP_BY	Russet Burbank	NA	USA: breeding program (in vitro clone)	Russet Burbank	PDP_BY; Russet Burbank, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564733	sra	SRX2646006	Illumina HiSeq 2500	RANDOM	PDP_BX	2017-03-16	12215	6107	Solanum tuberosum	SRR5349588	SRS2051347	PDP_BX	Rio Grande Russet	NA	USA: breeding program (in vitro clone)	Rio Grande Russet	PDP_BX; Rio Grande Russet, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564732	sra	SRX2646007	Illumina HiSeq 2500	RANDOM	PDP_BW	2017-03-16	12434	6200	Solanum tuberosum	SRR5349589	SRS2051348	PDP_BW	Purple Majesty	NA	USA: breeding program (in vitro clone)	Purple Majesty	PDP_BW; Purple Majesty, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564731	sra	SRX2646008	Illumina HiSeq 2500	RANDOM	PDP_BV	2017-03-16	11565	5724	Solanum tuberosum	SRR5349590	SRS2051349	PDP_BV	Premier Russet	NA	USA: breeding program (in vitro clone)	Premier Russet	PDP_BV; Premier Russet, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564730	sra	SRX2646009	Illumina HiSeq 2500	RANDOM	PDP_BU	2017-03-16	13655	6739	Solanum tuberosum	SRR5349591	SRS2051350	PDP_BU	Norland	NA	USA: breeding program (in vitro clone)	Norland	PDP_BU; Norland, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564729	sra	SRX2646010	Illumina HiSeq 2500	RANDOM	PDP_BT	2017-03-16	10887	5559	Solanum tuberosum	SRR5349592	SRS2051351	PDP_BT	Mountain Rose	NA	USA: breeding program (in vitro clone)	Mountain Rose	PDP_BT; Mountain Rose, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564728	sra	SRX2646011	Illumina HiSeq 2500	RANDOM	PDP_BS	2017-03-16	11229	5630	Solanum tuberosum	SRR5349593	SRS2051352	PDP_BS	Kennebec	NA	USA: breeding program (in vitro clone)	Kennebec	PDP_BS; Kennebec, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564727	sra	SRX2646012	Illumina HiSeq 2500	RANDOM	PDP_BR	2017-03-16	14986	7500	Solanum tuberosum	SRR5349594	SRS2051353	PDP_BR	Katahdin	NA	USA: breeding program (in vitro clone)	Katahdin	PDP_BR; Katahdin, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564726	sra	SRX2646013	Illumina HiSeq 2500	RANDOM	PDP_BQ	2017-03-16	14928	7545	Solanum tuberosum	SRR5349595	SRS2051354	PDP_BQ	Irish Cobbler	NA	USA: breeding program (in vitro clone)	Irish Cobbler	PDP_BQ; Irish Cobbler, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564725	sra	SRX2646014	Illumina HiSeq 2500	RANDOM	PDP_BP	2017-03-16	12426	6260	Solanum tuberosum	SRR5349596	SRS2051355	PDP_BP	Garnet Chili	NA	USA: breeding program (in vitro clone)	Garnet Chili	PDP_BP; Garnet Chili, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564724	sra	SRX2646015	Illumina HiSeq 2500	RANDOM	PDP_BO	2017-03-16	10699	5113	Solanum tuberosum	SRR5349597	SRS2051356	PDP_BO	Early Rose	NA	USA: breeding program (in vitro clone)	Early Rose	PDP_BO; Early Rose, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564723	sra	SRX2646016	Illumina HiSeq 2500	RANDOM	PDP_BN	2017-03-16	9267	4445	Solanum tuberosum	SRR5349598	SRS2051357	PDP_BN	Dakota Diamond	NA	USA: breeding program (in vitro clone)	Dakota Diamond	PDP_BN; Dakota Diamond, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564722	sra	SRX2646017	Illumina HiSeq 2500	RANDOM	PDP_BM	2017-03-16	9804	4697	Solanum tuberosum	SRR5349599	SRS2051358	PDP_BM	Burbank	NA	USA: breeding program (in vitro clone)	Burbank	PDP_BM; Burbank, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564721	sra	SRX2646018	Illumina HiSeq 2500	RANDOM	PDP_BL	2017-03-16	8751	4255	Solanum tuberosum	SRR5349600	SRS2051359	PDP_BL	NA	PI 607886	Peru: Paruro, Cusco area, Peru	PI 607886	PDP_BL; PI 607886, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564720	sra	SRX2646019	Illumina HiSeq 2500	RANDOM	PDP_BK	2017-03-16	10360	4951	Solanum tuberosum	SRR5349601	SRS2051360	PDP_BK	NA	PI 558142	Argentina: Jujuy, Jujuy area, Argentina	PI 558142	PDP_BK; PI 558142, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564719	sra	SRX2646020	Illumina HiSeq 2500	RANDOM	PDP_BJ	2017-03-16	9953	4714	Solanum tuberosum	SRR5349602	SRS2051361	PDP_BJ	NA	PI 546023	Bolivia: Sacaca, Potosi area, Bolivia	PI 546023	PDP_BJ; PI 546023, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564718	sra	SRX2646021	Illumina HiSeq 2500	RANDOM	PDP_BI	2017-03-16	10234	4970	Solanum tuberosum	SRR5349603	SRS2051362	PDP_BI	NA	PI 365345	Peru: Pataz, La Libertad area, Peru	PI 365345	PDP_BI; PI 365345, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564717	sra	SRX2646022	Illumina HiSeq 2500	RANDOM	PDP_BH	2017-03-16	9804	4871	Solanum tuberosum	SRR5349604	SRS2051363	PDP_BH	NA	PI 258885	Bolivia: Tacacoma, La Paz area, Bolivia	PI 258885	PDP_BH; PI 258885, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564716	sra	SRX2646023	Illumina HiSeq 2500	RANDOM	PDP_BG	2017-03-16	10685	5242	Solanum tuberosum	SRR5349605	SRS2051364	PDP_BG	NA	PI 258874	Bolivia: Oruro, Bolivia, Local variety "Amajaya"	PI 258874	PDP_BG; PI 258874, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564715	sra	SRX2646024	Illumina HiSeq 2500	RANDOM	PDP_BF	2017-03-16	10515	5094	Solanum tuberosum	SRR5349606	SRS2051365	PDP_BF	NA	PI 245940	Chile: Arica, Zapahuira area, Chile, Local variety "Pitehuica"	PI 245940	PDP_BF; PI 245940, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564714	sra	SRX2646025	Illumina HiSeq 2500	RANDOM	PDP_BE	2017-03-16	10148	5000	Solanum tuberosum	SRR5349607	SRS2051366	PDP_BE	NA	PI 245935	Chile: Arica, Zapahuira area, Chile, Local variety "Chapaquina"	PI 245935	PDP_BE; PI 245935, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Andigena	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564713	sra	SRX2646026	Illumina HiSeq 2500	RANDOM	PDP_BD	2017-03-16	9758	4772	Solanum tuberosum	SRR5349608	SRS2051367	PDP_BD	NA	PI 245847	Chile: Chiloe Island, Los Lagos area, Chile	PI 245847	PDP_BD; PI 245847, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp	Tuberosum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564712	sra	SRX2646027	Illumina HiSeq 2500	RANDOM	PDP_BC	2017-03-16	7454	3710	Solanum commersonii	SRR5349609	SRS2051368	PDP_BC	NA	PI 558050	Argentina	PI 558050	PDP_BC; PI 558050, commersonii, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564711	sra	SRX2646028	Illumina HiSeq 2500	RANDOM	PDP_BB	2017-03-16	7109	3553	Solanum megistacrolobum	SRR5349610	SRS2051369	PDP_BB	NA	PI 546000	Bolivia: Prov. Azurduy, Chuquisaca, Bolivia	PI 546000	PDP_BB; PI 546000, boliviense - megistracrolobum, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564710	sra	SRX2646029	Illumina HiSeq 2500	RANDOM	PDP_BA	2017-03-16	7155	3597	Solanum leptophyes	SRR5349611	SRS2051370	PDP_BA	NA	PI 545987	Bolivia: Prov. Ibanes near Sacaca, Potosi area, Bolivia	PI 545987	PDP_BA; PI 545987, brevicaule - leptophyes, 2x - genomic DNA sheared to 500bp	brevicaule spp complex	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564709	sra	SRX2646030	Illumina HiSeq 2500	RANDOM	PDP_AZ	2017-03-16	8595	4250	Solanum boliviense	SRR5349612	SRS2051371	PDP_AZ	NA	PI 545964	Bolivia: Near Potosi, Bolivia	PI 545964	PDP_AZ; PI 545964, boliviense, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564708	sra	SRX2646031	Illumina HiSeq 2500	RANDOM	PDP_AY	2017-03-16	6908	3472	Solanum kurtzianum	SRR5349613	SRS2051372	PDP_AY	NA	PI 498359	Argentina: Quebrada Antecristo, San Juan area, Argentina	PI 498359	PDP_AY; PI 498359, kurtzianum, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564707	sra	SRX2646032	Illumina HiSeq 2500	RANDOM	PDP_AX	2017-03-16	6671	3340	Solanum brevicaule	SRR5349614	SRS2051373	PDP_AX	NA	PI 498112	Bolivia: Chapare, Cochabamba area, Bolivia	PI 498112	PDP_AX; PI 498112, brevicaule - brevicaule, 2x, leaf tissue - genomic DNA sheared to 500bp	brevicaule spp complex	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564706	sra	SRX2646033	Illumina HiSeq 2500	RANDOM	PDP_AW	2017-03-16	6581	3292	Solanum sparsipilum	SRR5349615	SRS2051374	PDP_AW	NA	PI 473385	Peru: Pisac, Cusco area, Peru	PI 473385	PDP_AW; PI 473385, brevicaule - sparsipilum, 2x, leaf tissue - genomic DNA sheared to 500bp	brevicaule spp complex	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564705	sra	SRX2646034	Illumina HiSeq 2500	RANDOM	PDP_AV	2017-03-16	6128	3054	Solanum vernei	SRR5349616	SRS2051375	PDP_AV	NA	PI 473305	Argentina: Piscuno, Jujuy area, Argentina	PI 473305	PDP_AV; PI 473305, vernei, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564704	sra	SRX2646035	Illumina HiSeq 2500	RANDOM	PDP_AU	2017-03-16	7007	3536	Solanum gourlayi	SRR5349617	SRS2051376	PDP_AU	NA	PI 473065	Argentina: El Rodeo, Salta area, Argentina	PI 473065	PDP_AU; PI 473065, brevicaule - gourlayi, 2x, leaf tissue - genomic DNA sheared to 500bp	brevicaule spp complex	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564703	sra	SRX2646036	Illumina HiSeq 2500	RANDOM	PDP_AT	2017-03-16	6791	3371	Solanum spegazzinii	SRR5349618	SRS2051377	PDP_AT	NA	PI 472978	Argentina: El Potrero, Salta area, Argentina	PI 472978	PDP_AT; PI 472978, brevicaule - spegazzinii, 2x, leaf tissue - genomic DNA sheared to 500bp	brevicaule spp complex	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564702	sra	SRX2646037	Illumina HiSeq 2500	RANDOM	PDP_AS	2017-03-16	6181	3041	Solanum okadae	SRR5349619	SRS2051378	PDP_AS	NA	PI 458368	Argentina: Cuesta del Obispo, Salta area, Argentina	PI 458368	PDP_AS; PI 458368, okadae, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564701	sra	SRX2646038	Illumina HiSeq 2500	RANDOM	PDP_AR	2017-03-16	7214	3542	Solanum berthaultii	SRR5349620	SRS2051379	PDP_AR	NA	PI 458365	Argentina: Quebrada de la Soledad, Salta area, Argentina	PI 458365	PDP_AR; PI 458365, berthaultii, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564700	sra	SRX2646039	Illumina HiSeq 2500	RANDOM	PDP_AQ	2017-03-16	6238	3073	Solanum microdontum	SRR5349621	SRS2051380	PDP_AQ	NA	PI 458355	Argentina: El Durazno, Jujuy area, Argentina	PI 458355	PDP_AQ; PI 458355, microdontum, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564699	sra	SRX2646040	Illumina HiSeq 2500	RANDOM	PDP_AP	2017-03-16	6304	3107	Solanum infundibuliforme	SRR5349622	SRS2051381	PDP_AP	NA	PI 458324	Argentina: Quebrada de Sepulturas, Jujuy area, Argentina	PI 458324	PDP_AP; PI 458324, infundibuliforme, 2x, leaf tissue - genomic DNA sheared to 500bp	NA	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564698	sra	SRX2646041	Illumina HiSeq 2500	RANDOM	PDP_AO	2017-03-16	7323	3605	Solanum tuberosum	SRR5349623	SRS2051382	PDP_AO	NA	PI 365344	Peru: Huancayo, Junin area, Peru	PI 365344	PDP_AO; PI 365344, stenotomum, 2x, leaf tissue - genomic DNA sheared to 500bp	Stenotomum	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
WGS	250	SAMN06564697	sra	SRX2646042	Illumina HiSeq 2500	RANDOM	PDP_AN	2017-03-16	7176	3595	Solanum tuberosum	SRR5349624	SRS2051383	PDP_AN	NA	PI 320355	Colombia: Guachuacal, Narino area, Colombia	PI 320355	PDP_AN; PI 320355, phureja, 2x, leaf tissue - genomic DNA sheared to 500bp	Phureja	PRJNA378971	Plant	public	ncbi	0	PAIRED	GENOMIC	ILLUMINA	2017-10-20	SRP102000	juvenile	NA	immature whole leaf
